partition,Image1,Image2,LPIPS_Image1_to_average,LPIPS_Image2_to_average,SwappedForLPIPSOrdering
train,image_05759.jpg,image_05756.jpg,0.22080612182617188,0.4288896322250366,True
train,image_07874.jpg,image_05723.jpg,0.22265584766864777,0.523598313331604,True
train,image_01819.jpg,image_07667.jpg,0.29398101568222046,0.4972582459449768,True
train,image_03657.jpg,image_07673.jpg,0.2958593964576721,0.4204699397087097,False
train,image_08145.jpg,image_03666.jpg,0.3332229256629944,0.36489349603652954,False
train,image_05154.jpg,image_03394.jpg,0.3596898317337036,0.42837268114089966,False
train,image_03495.jpg,image_02679.jpg,0.26363518834114075,0.46807390451431274,False
train,image_06012.jpg,image_01444.jpg,0.35024669766426086,0.3905821144580841,True
train,image_07969.jpg,image_05216.jpg,0.3830172121524811,0.38673296570777893,False
train,image_06728.jpg,image_00340.jpg,0.37711235880851746,0.38233277201652527,True
train,image_02596.jpg,image_02726.jpg,0.22370536625385284,0.47051912546157837,True
train,image_04423.jpg,image_05375.jpg,0.2972593307495117,0.5603286623954773,False
train,image_02807.jpg,image_02497.jpg,0.3270787000656128,0.41517049074172974,False
train,image_05848.jpg,image_04220.jpg,0.28305813670158386,0.5562501549720764,False
train,image_06998.jpg,image_00884.jpg,0.2869020998477936,0.383171021938324,False
train,image_05526.jpg,image_01445.jpg,0.2719748020172119,0.488699734210968,True
train,image_01483.jpg,image_02077.jpg,0.1918441504240036,0.5246908664703369,False
train,image_00149.jpg,image_04350.jpg,0.25702983140945435,0.4970041513442993,False
train,image_03306.jpg,image_03247.jpg,0.32770732045173645,0.432292103767395,False
train,image_04246.jpg,image_05978.jpg,0.26243123412132263,0.48168784379959106,False
train,image_05520.jpg,image_05845.jpg,0.3323553204536438,0.38595566153526306,True
train,image_00057.jpg,image_02582.jpg,0.33250826597213745,0.3643498718738556,False
train,image_03462.jpg,image_00152.jpg,0.35189127922058105,0.37045103311538696,True
train,image_04435.jpg,image_04026.jpg,0.2806004583835602,0.45505595207214355,False
train,image_01377.jpg,image_07657.jpg,0.2503596842288971,0.5263389348983765,False
train,image_02387.jpg,image_07590.jpg,0.3558342158794403,0.3634675443172455,True
train,image_06994.jpg,image_02200.jpg,0.22182166576385498,0.4936816394329071,False
train,image_07487.jpg,image_02569.jpg,0.402364045381546,0.422146737575531,False
train,image_03927.jpg,image_03683.jpg,0.27283260226249695,0.449234277009964,False
train,image_00717.jpg,image_01879.jpg,0.32028457522392273,0.6293574571609497,True
train,image_07348.jpg,image_05349.jpg,0.303415447473526,0.4049987494945526,True
train,image_04996.jpg,image_01809.jpg,0.30966877937316895,0.35032111406326294,True
train,image_01989.jpg,image_01725.jpg,0.18609392642974854,0.4961879551410675,True
train,image_03181.jpg,image_07854.jpg,0.29951685667037964,0.5223049521446228,True
train,image_06385.jpg,image_03225.jpg,0.3022896349430084,0.35437333583831787,True
train,image_07963.jpg,image_00528.jpg,0.33242589235305786,0.49943608045578003,False
train,image_03030.jpg,image_07593.jpg,0.29731276631355286,0.35298043489456177,True
train,image_00716.jpg,image_03079.jpg,0.31255483627319336,0.4582468271255493,True
train,image_07372.jpg,image_03890.jpg,0.3079146444797516,0.36444157361984253,True
train,image_03874.jpg,image_03196.jpg,0.2697613835334778,0.4580390453338623,True
train,image_02230.jpg,image_02827.jpg,0.19089563190937042,0.5358877778053284,True
train,image_06189.jpg,image_08100.jpg,0.20657527446746826,0.5251449346542358,False
